institution,primary_unit,secondary_unit,priority,nasf
kansas,"College of Engineering, Forestry, and Natural Sciences",Mathematics and Statistics,1,300
Instituion,"College of Engineering, Forestry, and Natural Sciences",Physics and Astronomy,1,300
Instituion,"College of Engineering, Forestry, and Natural Sciences",Biological Sciences,1,300
Instituion,"College of Engineering, Forestry, and Natural Sciences",School of Earth Science & Environmental Sustainability,1,300
Instituion,College of Health and Human Services,College of Health & Human Services,1,300
Instituion,"College of Engineering, Forestry, and Natural Sciences",Institute for Tribal Environmental Professionals,1,300
Instituion,College of Health and Human Services,Dental Hygiene,2,300
Instituion,College of Health and Human Services,Nursing,2,300
Instituion,"College of Engineering, Forestry, and Natural Sciences",Merriam-Powell Center for Environmental Research,2,300
Instituion,College of Health and Human Services,Communication Sciences & Disorders,2,300
Instituion,Senior Vice President for Extended Campuses,Extended Learning,2,300
Instituion,"College of Engineering, Forestry, and Natural Sciences",Ecosystem Science & Society Center,2,300
Instituion,"College of Engineering, Forestry, and Natural Sciences",Native American Cancer Prevention Outreach,2,300
Instituion,Cline Library,Cline Library,2,300
Instituion,"College of Engineering, Forestry, and Natural Sciences",Electrical Engineering & Computer Science,2,300
Instituion,"College of Engineering, Forestry, and Natural Sciences",Mechanical Engineering,2,300
Instituion,College of Health and Human Services,Physical Therapy & Athletic Training,2,300
Instituion,Provost & Vice President for Academc Affairs,e-Learning Center,2,300
Instituion,College of Arts and Letters,Comparative Cultural Studies,2,300
Instituion,College of Arts and Letters,Theatre,2,300
Instituion,"College of Engineering, Forestry, and Natural Sciences","Civil Engineering, Construction Management, Environmental Engineering",2,300
Instituion,Sr Vice President for Enrollment Mgmt & Student Affairs,Recreation Services,2,300
Instituion,Senior Vice President for Extended Campuses,Personalized Learning,2,300
Instituion,College of Social and Behavioral Sciences,Ethnic Studies,2,300
Instituion,College of Arts and Letters,School of Art,2,300
Instituion,College of Arts and Letters,School of Music,3,300
Instituion,College of Arts and Letters,English,3,300
Instituion,College of Social and Behavioral Sciences,Psychology,3,300
Instituion,Provost & Vice President for Academc Affairs,Honors,3,300
Instituion,College of Social and Behavioral Sciences,College of Social & Behavioral Sciences,3,300
Instituion,"College of Engineering, Forestry, and Natural Sciences",Colorado Plateau Biodiversity Center,3,300
Instituion,College of Social and Behavioral Sciences,Civic Center Institute,3,300
Instituion,Sr Vice President for Enrollment Mgmt & Student Affairs,Enrollment Management and Student Affairs,3,300
Instituion,Sr Vice President for Enrollment Mgmt & Student Affairs,Merchandising,3,300
Instituion,Information Technology Services,Student Technology Center,3,300
Instituion,Provost & Vice President for Academc Affairs,"Curriculum, Academic Design &  Assessment",3,300
Instituion,Provost & Vice President for Academc Affairs,Liberal Studies,3,300
Instituion,Provost & Vice President for Academc Affairs,Student Success Center,3,300
Instituion,College of Education,College of Education,3,300
Instituion,College of Arts and Letters,Performing Arts,3,300
Instituion,"College of Engineering, Forestry, and Natural Sciences",Engineering and Professional Programs,3,300
Instituion,"College of Engineering, Forestry, and Natural Sciences",Institute for Sustainable Energy Solutions,3,300
Instituion,"College of Engineering, Forestry, and Natural Sciences",Microbial Genetics & Genomics,3,300
Instituion,College of Social and Behavioral Sciences,Criminology & Criminal Justice,3,300
Instituion,College of Social and Behavioral Sciences,Native American Studies,3,300
Instituion,Sr Vice President for Enrollment Mgmt & Student Affairs,Dubois Conference,3,300
Instituion,Sr Vice President for Enrollment Mgmt & Student Affairs,Food Service,3,300
Instituion,Information Technology Services,Information Technology Services,3,300
Instituion,Vice President for Research,Office of Regulatory Compliance,3,300
Instituion,College of Health and Human Services,Health Sciences,3,300
